cell,type,C0T0,dC0T0,C0T1,dC0T1,C1T0,dC1T0,C1T1,dC1T1,Mean,dMean
12,Uniform,0.9382799361393882,0.011522243744619501,0.9735727692285068,0.005520828309131153,0.977575937741786,0.009102754640505098,0.9774688305527657,0.011169747037295452,0.9667243684156116,0.004068104914425343
15,Uniform,0.9469340861468762,0.011617059086005885,0.9789423178964692,0.00444260142111752,0.9831647521301525,0.006813838010030285,0.8843128675246041,0.03995092430613254,0.9483385059245255,0.0035302003943949445
26,Uniform,0.9416416902575412,0.020568582730557915,0.9698959925701521,0.005763607680651431,0.9674732129826181,0.010189471213805238,0.8958609144152913,0.0277172505964717,0.9437179525564007,0.0048001525551369505
31,Uniform,0.9526958717777153,0.011694853505276517,0.9744939754483987,0.004614307768021105,0.991195147961779,0.005178923750967807,0.934757466575806,0.02284453271459074,0.9632856154409248,0.003270735059036117
8,Uniform,0.9083119145051265,0.011165394710406614,0.9690725694168887,0.005209506109809954,0.9222992422106736,0.010309122491906771,0.8103689389397297,0.0287524747530614,0.9025131662681045,0.004245232478370058
13,Composite,0.9661510932957444,0.007954617728663434,0.9833938890776374,0.0040606770064163375,0.9923795394870261,0.005393310312860011,0.9408591138655629,0.020097240303265897,0.9706959089314926,0.002970820933833554
17,Composite,0.9478632235815588,0.009766969638505785,0.987475557072948,0.003983636691169465,0.984588693336464,0.007632192472632252,0.9586564663589404,0.016381874641348364,0.9696459850874779,0.0032548794246939606
20,Composite,0.9499168074852893,0.009789995272574655,0.9804253848788483,0.0046638437125546914,0.9903720885736018,0.005529856840422657,0.9569843764646899,0.01769249333894816,0.9694246643506073,0.0032914674434059345
28,Composite,0.9532949668321737,0.009309946648398003,0.9799573449007283,0.004679305599024341,0.9861734420971001,0.007967653464958742,0.9388193613293129,0.027678820099399145,0.9645612787898288,0.0036694988331170673
37,Composite,0.9628657607287161,0.007865733701817671,0.9746404754254919,0.005229367806704498,0.984407566500963,0.00784881193520409,0.9780268929694165,0.015226890811145016,0.9749851739061469,0.0036941701746627045
Mean,Uniform,0.9375726997653293,0.020696940370361346,0.9731955249120832,0.006238682690342647,0.9683416586054019,0.025745482732702045,0.9005538036016395,0.06219738904680028,0.9449159217211134,0.023259277034927802
Mean,Composite,0.9560183703846965,0.011521890157882781,0.9811785302711307,0.006208335200374859,0.987584265999031,0.007678889596400223,0.9546692421975844,0.02446238137158081,0.9698626022131107,0.004746446532138469
