coincidence_window [ps] = 500
capture_duration [sec] = 1.0
dark_capture_duration = 0.0
no_of_rep = 60
--------------------------------------------------------------------------------
step ustep rate1 rate2 rate3 rate4 dark1 dark2 dark3 dark4 rate12 rate13 rate14 rate23 rate24 rate34 dark12 dark13 dark14 dark23 dark24 dark34
51612 0 102.78333333333333 69.0 82.76666666666667 101.26666666666667 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51614 0 104.21666666666667 67.18333333333334 82.8 102.23333333333333 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51616 0 103.31666666666666 70.31666666666666 85.61666666666666 103.45 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51618 0 104.38983050847457 68.15254237288136 82.9322033898305 97.8135593220339 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51620 0 103.56666666666666 67.36666666666666 82.86666666666666 101.11666666666666 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51622 0 103.23333333333333 68.85 80.6 103.61666666666666 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51624 0 102.93333333333334 70.46666666666667 78.93333333333334 103.95 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51626 0 101.78333333333333 67.61666666666666 80.73333333333333 103.4 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51628 0 97.48333333333333 65.15 78.35 95.46666666666667 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51630 0 97.98333333333333 66.01666666666667 76.4 97.71666666666667 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51632 0 99.4 66.9 76.71666666666667 99.85 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51634 0 98.83333333333333 63.733333333333334 79.61666666666666 98.25 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51636 0 98.68333333333334 63.61666666666667 77.55 97.96666666666667 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51638 0 96.03333333333333 61.583333333333336 78.08333333333333 91.96666666666667 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51640 0 91.7 59.916666666666664 72.06666666666666 84.68333333333334 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51642 0 93.01694915254237 60.23728813559322 73.71186440677967 85.94915254237289 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51644 0 92.58333333333333 59.21666666666667 72.95 86.95 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51646 0 98.71666666666667 59.733333333333334 71.41666666666667 89.1 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51648 0 93.0 61.666666666666664 74.4 89.0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51650 0 94.2 62.3 75.8 90.86666666666666 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0
